property_id,check_in_date,room_category,successful_bookings,capacity,occcupancy,room_class,property_name,category,city,mmm yy,week no,day_type
16561,2022-05-01,RT4,9,10,90.0,Presidential,Atliq Blu,Luxury,Delhi,May 22,W 19,weekend
16562,2022-05-01,RT1,20,31,64.52,Standard,Atliq Bay,Luxury,Delhi,May 22,W 19,weekend
16562,2022-05-01,RT2,30,43,69.77,Elite,Atliq Bay,Luxury,Delhi,May 22,W 19,weekend
16562,2022-05-01,RT3,14,18,77.78,Premium,Atliq Bay,Luxury,Delhi,May 22,W 19,weekend
16562,2022-05-01,RT4,4,6,66.67,Presidential,Atliq Bay,Luxury,Delhi,May 22,W 19,weekend
16563,2022-05-01,RT1,36,41,87.8,Standard,Atliq Palace,Business,Delhi,May 22,W 19,weekend
16563,2022-05-01,RT2,37,38,97.37,Elite,Atliq Palace,Business,Delhi,May 22,W 19,weekend
16563,2022-05-01,RT3,17,20,85.0,Premium,Atliq Palace,Business,Delhi,May 22,W 19,weekend
16563,2022-05-01,RT4,17,18,94.44,Presidential,Atliq Palace,Business,Delhi,May 22,W 19,weekend
17559,2022-05-01,RT1,26,32,81.25,Standard,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekend
17559,2022-05-01,RT2,34,39,87.18,Elite,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekend
17559,2022-05-01,RT3,14,16,87.5,Premium,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekend
17559,2022-05-01,RT4,13,14,92.86,Presidential,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekend
17562,2022-05-01,RT1,12,20,60.0,Standard,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekend
17562,2022-05-01,RT2,19,30,63.33,Elite,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekend
17562,2022-05-01,RT3,15,27,55.56,Premium,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekend
17562,2022-05-01,RT4,4,6,66.67,Presidential,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekend
17563,2022-05-01,RT1,21,25,84.0,Standard,Atliq Palace,Business,Mumbai,May 22,W 19,weekend
17563,2022-05-01,RT2,40,44,90.91,Elite,Atliq Palace,Business,Mumbai,May 22,W 19,weekend
17563,2022-05-01,RT3,14,16,87.5,Premium,Atliq Palace,Business,Mumbai,May 22,W 19,weekend
17563,2022-05-01,RT4,17,19,89.47,Presidential,Atliq Palace,Business,Mumbai,May 22,W 19,weekend
18558,2022-05-01,RT1,11,15,73.33,Standard,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekend
18558,2022-05-01,RT2,21,30,70.0,Elite,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekend
18558,2022-05-01,RT3,18,26,69.23,Premium,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekend
18558,2022-05-01,RT4,14,20,70.0,Presidential,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekend
18559,2022-05-01,RT1,29,42,69.05,Standard,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekend
18559,2022-05-01,RT2,29,44,65.91,Elite,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekend
18559,2022-05-01,RT3,14,23,60.87,Premium,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekend
18559,2022-05-01,RT4,11,19,57.89,Presidential,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekend
18561,2022-05-01,RT1,31,33,93.94,Standard,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekend
18561,2022-05-01,RT2,35,40,87.5,Elite,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekend
18561,2022-05-01,RT3,23,25,92.0,Premium,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekend
18561,2022-05-01,RT4,8,9,88.89,Presidential,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekend
18562,2022-05-01,RT1,34,38,89.47,Standard,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekend
18562,2022-05-01,RT2,33,34,97.06,Elite,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekend
18562,2022-05-01,RT3,28,29,96.55,Premium,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekend
18562,2022-05-01,RT4,19,20,95.0,Presidential,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekend
18563,2022-05-01,RT1,18,27,66.67,Standard,Atliq Palace,Business,Hyderabad,May 22,W 19,weekend
18563,2022-05-01,RT2,21,29,72.41,Elite,Atliq Palace,Business,Hyderabad,May 22,W 19,weekend
18563,2022-05-01,RT3,16,23,69.57,Premium,Atliq Palace,Business,Hyderabad,May 22,W 19,weekend
18563,2022-05-01,RT4,13,18,72.22,Presidential,Atliq Palace,Business,Hyderabad,May 22,W 19,weekend
19559,2022-05-01,RT1,18,24,75.0,Standard,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekend
19559,2022-05-01,RT2,32,41,78.05,Elite,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekend
19559,2022-05-01,RT3,19,27,70.37,Premium,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekend
19559,2022-05-01,RT4,2,3,66.67,Presidential,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekend
19561,2022-05-01,RT1,25,36,69.44,Standard,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekend
19561,2022-05-01,RT2,35,45,77.78,Elite,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekend
19561,2022-05-01,RT3,23,29,79.31,Premium,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekend
19561,2022-05-01,RT4,5,7,71.43,Presidential,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekend
17564,2022-05-01,RT1,9,16,56.25,Standard,Atliq Seasons,Business,Mumbai,May 22,W 19,weekend
17564,2022-05-01,RT2,25,40,62.5,Elite,Atliq Seasons,Business,Mumbai,May 22,W 19,weekend
17564,2022-05-01,RT3,16,24,66.67,Premium,Atliq Seasons,Business,Mumbai,May 22,W 19,weekend
17564,2022-05-01,RT4,9,17,52.94,Presidential,Atliq Seasons,Business,Mumbai,May 22,W 19,weekend
18560,2022-05-01,RT1,27,30,90.0,Standard,Atliq City,Business,Hyderabad,May 22,W 19,weekend
18560,2022-05-01,RT2,34,40,85.0,Elite,Atliq City,Business,Hyderabad,May 22,W 19,weekend
18560,2022-05-01,RT3,21,24,87.5,Premium,Atliq City,Business,Hyderabad,May 22,W 19,weekend
18560,2022-05-01,RT4,14,15,93.33,Presidential,Atliq City,Business,Hyderabad,May 22,W 19,weekend
16559,2022-05-02,RT1,20,30,66.67,Standard,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-02,RT2,23,41,56.1,Elite,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-02,RT3,20,32,62.5,Premium,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-02,RT4,12,18,66.67,Presidential,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
19562,2022-05-02,RT1,20,30,66.67,Standard,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-02,RT2,15,23,65.22,Elite,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-02,RT3,18,29,62.07,Premium,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-02,RT4,8,14,57.14,Presidential,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19563,2022-05-02,RT1,14,30,46.67,Standard,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-02,RT2,20,45,44.44,Elite,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-02,RT3,14,29,48.28,Premium,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-02,RT4,4,6,66.67,Presidential,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
17558,2022-05-02,RT1,10,19,52.63,Standard,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-02,RT2,27,50,54.0,Elite,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-02,RT3,12,27,44.44,Premium,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-02,RT4,4,6,66.67,Presidential,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
16558,2022-05-02,RT1,12,19,63.16,Standard,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-02,RT2,14,22,63.64,Elite,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-02,RT3,5,8,62.5,Premium,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-02,RT4,2,3,66.67,Presidential,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
17560,2022-05-02,RT1,22,40,55.0,Standard,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-02,RT2,23,45,51.11,Elite,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-02,RT3,13,25,52.0,Premium,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-02,RT4,6,13,46.15,Presidential,Atliq City,Business,Mumbai,May 22,W 19,weekeday
19558,2022-05-02,RT1,16,40,40.0,Standard,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-02,RT2,17,39,43.59,Elite,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-02,RT3,9,21,42.86,Premium,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-02,RT4,4,7,57.14,Presidential,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19560,2022-05-02,RT1,14,26,53.85,Standard,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-02,RT2,21,38,55.26,Elite,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-02,RT3,11,19,57.89,Premium,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-02,RT4,11,16,68.75,Presidential,Atliq City,Business,Bangalore,May 22,W 19,weekeday
17561,2022-05-02,RT1,15,26,57.69,Standard,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-02,RT2,23,36,63.89,Elite,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-02,RT3,10,19,52.63,Premium,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-02,RT4,3,4,75.0,Presidential,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
16560,2022-05-02,RT1,17,34,50.0,Standard,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-02,RT2,17,34,50.0,Elite,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-02,RT3,10,20,50.0,Premium,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-02,RT4,3,7,42.86,Presidential,Atliq City,Business,Delhi,May 22,W 19,weekeday
16561,2022-05-02,RT1,11,18,61.11,Standard,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-02,RT2,16,24,66.67,Elite,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-02,RT3,13,21,61.9,Premium,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-02,RT4,6,10,60.0,Presidential,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16562,2022-05-02,RT1,17,31,54.84,Standard,Atliq Bay,Luxury,Delhi,May 22,W 19,weekeday
16562,2022-05-02,RT2,21,43,48.84,Elite,Atliq Bay,Luxury,Delhi,May 22,W 19,weekeday
16562,2022-05-02,RT3,11,18,61.11,Premium,Atliq Bay,Luxury,Delhi,May 22,W 19,weekeday
16562,2022-05-02,RT4,3,6,50.0,Presidential,Atliq Bay,Luxury,Delhi,May 22,W 19,weekeday
16563,2022-05-02,RT1,25,41,60.98,Standard,Atliq Palace,Business,Delhi,May 22,W 19,weekeday
16563,2022-05-02,RT2,23,38,60.53,Elite,Atliq Palace,Business,Delhi,May 22,W 19,weekeday
16563,2022-05-02,RT3,13,20,65.0,Premium,Atliq Palace,Business,Delhi,May 22,W 19,weekeday
16563,2022-05-02,RT4,12,18,66.67,Presidential,Atliq Palace,Business,Delhi,May 22,W 19,weekeday
17559,2022-05-02,RT1,20,32,62.5,Standard,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekeday
17559,2022-05-02,RT2,26,39,66.67,Elite,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekeday
17559,2022-05-02,RT3,9,16,56.25,Premium,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekeday
17559,2022-05-02,RT4,8,14,57.14,Presidential,Atliq Exotica,Luxury,Mumbai,May 22,W 19,weekeday
17562,2022-05-02,RT1,9,20,45.0,Standard,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekeday
17562,2022-05-02,RT2,14,30,46.67,Elite,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekeday
17562,2022-05-02,RT3,12,27,44.44,Premium,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekeday
17562,2022-05-02,RT4,3,6,50.0,Presidential,Atliq Bay,Luxury,Mumbai,May 22,W 19,weekeday
17563,2022-05-02,RT1,15,25,60.0,Standard,Atliq Palace,Business,Mumbai,May 22,W 19,weekeday
17563,2022-05-02,RT2,28,44,63.64,Elite,Atliq Palace,Business,Mumbai,May 22,W 19,weekeday
17563,2022-05-02,RT3,9,16,56.25,Premium,Atliq Palace,Business,Mumbai,May 22,W 19,weekeday
17563,2022-05-02,RT4,12,19,63.16,Presidential,Atliq Palace,Business,Mumbai,May 22,W 19,weekeday
18558,2022-05-02,RT1,8,15,53.33,Standard,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekeday
18558,2022-05-02,RT2,14,30,46.67,Elite,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekeday
18558,2022-05-02,RT3,15,26,57.69,Premium,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekeday
18558,2022-05-02,RT4,10,20,50.0,Presidential,Atliq Grands,Luxury,Hyderabad,May 22,W 19,weekeday
18559,2022-05-02,RT1,17,42,40.48,Standard,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekeday
18559,2022-05-02,RT2,18,44,40.91,Elite,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekeday
18559,2022-05-02,RT3,9,23,39.13,Premium,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekeday
18559,2022-05-02,RT4,9,19,47.37,Presidential,Atliq Exotica,Luxury,Hyderabad,May 22,W 19,weekeday
18561,2022-05-02,RT1,24,33,72.73,Standard,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekeday
18561,2022-05-02,RT2,25,40,62.5,Elite,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekeday
18561,2022-05-02,RT3,18,25,72.0,Premium,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekeday
18561,2022-05-02,RT4,5,9,55.56,Presidential,Atliq Blu,Luxury,Hyderabad,May 22,W 19,weekeday
18562,2022-05-02,RT1,22,38,57.89,Standard,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekeday
18562,2022-05-02,RT2,17,34,50.0,Elite,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekeday
18562,2022-05-02,RT3,18,29,62.07,Premium,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekeday
18562,2022-05-02,RT4,12,20,60.0,Presidential,Atliq Bay,Luxury,Hyderabad,May 22,W 19,weekeday
18563,2022-05-02,RT1,14,27,51.85,Standard,Atliq Palace,Business,Hyderabad,May 22,W 19,weekeday
18563,2022-05-02,RT2,15,29,51.72,Elite,Atliq Palace,Business,Hyderabad,May 22,W 19,weekeday
18563,2022-05-02,RT3,11,23,47.83,Premium,Atliq Palace,Business,Hyderabad,May 22,W 19,weekeday
18563,2022-05-02,RT4,11,18,61.11,Presidential,Atliq Palace,Business,Hyderabad,May 22,W 19,weekeday
19559,2022-05-02,RT1,13,24,54.17,Standard,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekeday
19559,2022-05-02,RT2,19,41,46.34,Elite,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekeday
19559,2022-05-02,RT3,14,27,51.85,Premium,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekeday
19559,2022-05-02,RT4,2,3,66.67,Presidential,Atliq Exotica,Luxury,Bangalore,May 22,W 19,weekeday
19561,2022-05-02,RT1,20,36,55.56,Standard,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekeday
19561,2022-05-02,RT2,22,45,48.89,Elite,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekeday
19561,2022-05-02,RT3,17,29,58.62,Premium,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekeday
19561,2022-05-02,RT4,4,7,57.14,Presidential,Atliq Blu,Luxury,Bangalore,May 22,W 19,weekeday
17564,2022-05-02,RT1,7,16,43.75,Standard,Atliq Seasons,Business,Mumbai,May 22,W 19,weekeday
17564,2022-05-02,RT2,16,40,40.0,Elite,Atliq Seasons,Business,Mumbai,May 22,W 19,weekeday
17564,2022-05-02,RT3,9,24,37.5,Premium,Atliq Seasons,Business,Mumbai,May 22,W 19,weekeday
17564,2022-05-02,RT4,6,17,35.29,Presidential,Atliq Seasons,Business,Mumbai,May 22,W 19,weekeday
18560,2022-05-02,RT1,21,30,70.0,Standard,Atliq City,Business,Hyderabad,May 22,W 19,weekeday
18560,2022-05-02,RT2,26,40,65.0,Elite,Atliq City,Business,Hyderabad,May 22,W 19,weekeday
18560,2022-05-02,RT3,14,24,58.33,Premium,Atliq City,Business,Hyderabad,May 22,W 19,weekeday
18560,2022-05-02,RT4,11,15,73.33,Presidential,Atliq City,Business,Hyderabad,May 22,W 19,weekeday
16559,2022-05-03,RT1,17,30,56.67,Standard,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-03,RT2,26,41,63.41,Elite,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-03,RT3,21,32,65.62,Premium,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
16559,2022-05-03,RT4,11,18,61.11,Presidential,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekeday
19562,2022-05-03,RT1,19,30,63.33,Standard,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-03,RT2,14,23,60.87,Elite,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-03,RT3,18,29,62.07,Premium,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19562,2022-05-03,RT4,9,14,64.29,Presidential,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekeday
19563,2022-05-03,RT1,15,30,50.0,Standard,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-03,RT2,23,45,51.11,Elite,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-03,RT3,15,29,51.72,Premium,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
19563,2022-05-03,RT4,4,6,66.67,Presidential,Atliq Palace,Business,Bangalore,May 22,W 19,weekeday
17558,2022-05-03,RT1,9,19,47.37,Standard,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-03,RT2,26,50,52.0,Elite,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-03,RT3,15,27,55.56,Premium,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
17558,2022-05-03,RT4,3,6,50.0,Presidential,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekeday
16558,2022-05-03,RT1,14,19,73.68,Standard,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-03,RT2,14,22,63.64,Elite,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-03,RT3,5,8,62.5,Premium,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
16558,2022-05-03,RT4,2,3,66.67,Presidential,Atliq Grands,Luxury,Delhi,May 22,W 19,weekeday
17560,2022-05-03,RT1,19,40,47.5,Standard,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-03,RT2,22,45,48.89,Elite,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-03,RT3,11,25,44.0,Premium,Atliq City,Business,Mumbai,May 22,W 19,weekeday
17560,2022-05-03,RT4,7,13,53.85,Presidential,Atliq City,Business,Mumbai,May 22,W 19,weekeday
19558,2022-05-03,RT1,20,40,50.0,Standard,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-03,RT2,16,39,41.03,Elite,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-03,RT3,9,21,42.86,Premium,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19558,2022-05-03,RT4,3,7,42.86,Presidential,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekeday
19560,2022-05-03,RT1,14,26,53.85,Standard,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-03,RT2,25,38,65.79,Elite,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-03,RT3,12,19,63.16,Premium,Atliq City,Business,Bangalore,May 22,W 19,weekeday
19560,2022-05-03,RT4,10,16,62.5,Presidential,Atliq City,Business,Bangalore,May 22,W 19,weekeday
17561,2022-05-03,RT1,16,26,61.54,Standard,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-03,RT2,23,36,63.89,Elite,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-03,RT3,12,19,63.16,Premium,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
17561,2022-05-03,RT4,3,4,75.0,Presidential,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekeday
16560,2022-05-03,RT1,19,34,55.88,Standard,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-03,RT2,16,34,47.06,Elite,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-03,RT3,10,20,50.0,Premium,Atliq City,Business,Delhi,May 22,W 19,weekeday
16560,2022-05-03,RT4,3,7,42.86,Presidential,Atliq City,Business,Delhi,May 22,W 19,weekeday
16561,2022-05-03,RT1,10,18,55.56,Standard,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-03,RT2,16,24,66.67,Elite,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-03,RT3,13,21,61.9,Premium,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
16561,2022-05-03,RT4,7,10,70.0,Presidential,Atliq Blu,Luxury,Delhi,May 22,W 19,weekeday
